챔피언,플레이수,평점,승률,게임당 픽률,게임당 밴률,CS,골드
직스,"152,939",2.29:1,50.05%,2.76%,0.21%,165.94,"10,959"
코그모,"148,134",2.26:1,51.15%,2.89%,0.38%,187.03,"12,167"
오리아나,"146,035",2.54:1,48.64%,2.66%,0.18%,176.86,"10,582"
키아나,"138,835",2.19:1,48.21%,2.48%,0.72%,151.05,"11,540"
퀸,"136,317",1.9:1,51.01%,2.67%,1.64%,167.24,"11,563"
타릭,"134,480",2.67:1,52.48%,2.41%,0.37%,47.77,"7,603"
사이온,"130,009",2.07:1,51.76%,2.40%,0.22%,172.34,"10,750"
소나,"117,639",2.7:1,50.55%,1.88%,0.07%,18.77,"7,817"
클레드,"108,255",2.36:1,51.31%,1.82%,0.61%,152.16,"10,882"
초가스,"106,494",2.16:1,49.10%,1.80%,0.08%,153.51,"10,555"
잔나,"104,175",2.92:1,49.94%,1.71%,0.11%,18.4,"7,311"
바드,"96,721",2.85:1,50.39%,1.46%,0.11%,28.03,"7,838"
우르곳,"96,342",1.87:1,49.44%,1.57%,0.16%,181.37,"11,702"
코르키,"95,606",2.03:1,45.95%,1.61%,0.09%,192.01,"12,024"
브라움,"88,801",2.72:1,49.22%,1.41%,0.11%,32.39,"7,239"
애니,"83,934",2.31:1,50.63%,1.59%,0.19%,131.25,"10,268"
렐,"69,747",2.35:1,50.13%,1.19%,0.46%,32.6,"7,295"
스카너,"61,260",2.79:1,50.36%,0.94%,0.16%,139.46,"9,876"
아이번,"36,626",3.08:1,48.02%,0.55%,0.18%,110.69,"8,856"
아우렐리온 솔,"21,645",2.32:1,49.17%,0.32%,0.07%,149.17,"10,124"
